SourceField,DataType
LEDGER_ID,INTEGER
NAME,STRING
SHORT_NAME,STRING
DESCRIPTION,STRING
LEDGER_CATEGORY_CODE,STRING
ALC_LEDGER_TYPE_CODE,STRING
OBJECT_TYPE_CODE,STRING
LE_LEDGER_TYPE_CODE,STRING
COMPLETION_STATUS_CODE,STRING
CONFIGURATION_ID,INTEGER
CHART_OF_ACCOUNTS_ID,INTEGER
CURRENCY_CODE,STRING
PERIOD_SET_NAME,STRING
ACCOUNTED_PERIOD_TYPE,STRING
FIRST_LEDGER_PERIOD_NAME,STRING
RET_EARN_CODE_COMBINATION_ID,INTEGER
SUSPENSE_ALLOWED_FLAG,BOOLEAN
ALLOW_INTERCOMPANY_POST_FLAG,BOOLEAN
TRACK_ROUNDING_IMBALANCE_FLAG,BOOLEAN
ENABLE_AVERAGE_BALANCES_FLAG,BOOLEAN
CUM_TRANS_CODE_COMBINATION_ID,INTEGER
RES_ENCUMB_CODE_COMBINATION_ID,STRING
NET_INCOME_CODE_COMBINATION_ID,STRING
ROUNDING_CODE_COMBINATION_ID,INTEGER
ENABLE_BUDGETARY_CONTROL_FLAG,BOOLEAN
REQUIRE_BUDGET_JOURNALS_FLAG,BOOLEAN
ENABLE_JE_APPROVAL_FLAG,BOOLEAN
ENABLE_AUTOMATIC_TAX_FLAG,BOOLEAN
CONSOLIDATION_LEDGER_FLAG,BOOLEAN
TRANSLATE_EOD_FLAG,BOOLEAN
TRANSLATE_QATD_FLAG,BOOLEAN
TRANSLATE_YATD_FLAG,BOOLEAN
TRANSACTION_CALENDAR_ID,STRING
DAILY_TRANSLATION_RATE_TYPE,STRING
AUTOMATICALLY_CREATED_FLAG,BOOLEAN
BAL_SEG_VALUE_OPTION_CODE,STRING
BAL_SEG_COLUMN_NAME,STRING
MGT_SEG_VALUE_OPTION_CODE,STRING
MGT_SEG_COLUMN_NAME,STRING
BAL_SEG_VALUE_SET_ID,INTEGER
MGT_SEG_VALUE_SET_ID,STRING
IMPLICIT_ACCESS_SET_ID,INTEGER
CRITERIA_SET_ID,INTEGER
FUTURE_ENTERABLE_PERIODS_LIMIT,INTEGER
LEDGER_ATTRIBUTES,STRING
IMPLICIT_LEDGER_SET_ID,STRING
LATEST_OPENED_PERIOD_NAME,STRING
LATEST_ENCUMBRANCE_YEAR,INTEGER
PERIOD_AVERAGE_RATE_TYPE,STRING
PERIOD_END_RATE_TYPE,STRING
BUDGET_PERIOD_AVG_RATE_TYPE,STRING
BUDGET_PERIOD_END_RATE_TYPE,STRING
SLA_ACCOUNTING_METHOD_CODE,STRING
SLA_ACCOUNTING_METHOD_TYPE,STRING
SLA_DESCRIPTION_LANGUAGE,STRING
SLA_ENTERED_CUR_BAL_SUS_CCID,INTEGER
SLA_SEQUENCING_FLAG,BOOLEAN
SLA_BAL_BY_LEDGER_CURR_FLAG,BOOLEAN
SLA_LEDGER_CUR_BAL_SUS_CCID,INTEGER
ENABLE_SECONDARY_TRACK_FLAG,BOOLEAN
ENABLE_REVAL_SS_TRACK_FLAG,BOOLEAN
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CONTEXT,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ENABLE_RECONCILIATION_FLAG,BOOLEAN
CREATE_JE_FLAG,BOOLEAN
SLA_LEDGER_CASH_BASIS_FLAG,BOOLEAN
COMPLETE_FLAG,BOOLEAN
COMMITMENT_BUDGET_FLAG,STRING
NET_CLOSING_BAL_FLAG,BOOLEAN
AUTOMATE_SEC_JRNL_REV_FLAG,STRING
