SourceField,TargetField
CUST_TRX_LINE_GL_DIST_ID,NUMERIC
CUSTOMER_TRX_LINE_ID,NUMERIC
CODE_COMBINATION_ID,NUMERIC
SET_OF_BOOKS_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
PERCENT,NUMERIC
AMOUNT,NUMERIC
GL_DATE,DATETIME
GL_POSTED_DATE,DATETIME
CUST_TRX_LINE_SALESREP_ID,NUMERIC
COMMENTS,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
CONCATENATED_SEGMENTS,STRING
ORIGINAL_GL_DATE,DATETIME
POST_REQUEST_ID,NUMERIC
POSTING_CONTROL_ID,NUMERIC
ACCOUNT_CLASS,STRING
RA_POST_LOOP_NUMBER,NUMERIC
CUSTOMER_TRX_ID,NUMERIC
ACCOUNT_SET_FLAG,STRING
ACCTD_AMOUNT,NUMERIC
USSGL_TRANSACTION_CODE,STRING
USSGL_TRANSACTION_CODE_CONTEXT,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
LATEST_REC_FLAG,STRING
ORG_ID,NUMERIC
MRC_GL_POSTED_DATE,STRING
MRC_POSTING_CONTROL_ID,STRING
MRC_ACCTD_AMOUNT,STRING
MRC_ACCOUNT_CLASS,STRING
MRC_CUSTOMER_TRX_ID,STRING
MRC_AMOUNT,STRING
COLLECTED_TAX_CCID,NUMERIC
COLLECTED_TAX_CONCAT_SEG,STRING
REVENUE_ADJUSTMENT_ID,NUMERIC
REV_ADJ_CLASS_TEMP,STRING
REC_OFFSET_FLAG,STRING
CCID_CHANGE_FLAG,STRING
EVENT_ID,NUMERIC
USER_GENERATED_FLAG,STRING
ROUNDING_CORRECTION_FLAG,STRING
COGS_REQUEST_ID,NUMERIC
